phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag
0,Strom_L1,1385.64,13184516405423.4,-13184516405423.4,-858234.246356909,3.43282013856233e+15,5.32835417255622e-07,22498.6577500799,497940.962963572-11006.6127051282i,1112.24242635326,0,0
0,Strom_L2,-0,3047045.37535948,-3047045.27854177,768.124915879199,0.463621016020729,-3.46891046201224e-18,22498.65775008,47.6782417501117+5.69880556689878e-05i,23.3073912493828,0,0
0,Strom_L3,692.82,6588236235565.54,-6588236235565.54,254235.002322271,857681239440421,-7.65026007212224e-09,22498.6577500799,-73793.1981458781+1547.61918113677i,1112.24242635326,0,0
15,Strom_L1,1338.42546193918,12735265918844.5,-12735265918844.4,-761922.3132179,3.20286512158851e+15,-1.51411436210166e-06,22498.6577500799,464526.74451729-10269.9990731442i,1112.24242635326,0,0
15,Strom_L2,-0,3262466.69995461,-3262466.69764039,122.882566036999,0.0614345229540649,-1.7021299512244e-19,22498.65775008,50.2635932593176+0.000100972291943447i,23.3073912493828,0,0
15,Strom_L3,979.795440283328,9317171878060.41,-9317171878060.36,1002059.19320594,1.71536231865823e+15,4.13193275402602e-07,22498.6577500799,-147528.992191484+3095.13531138464i,1112.24242635326,0,0
30,Strom_L1,1199.99944049987,11418127353007.5,-11418127353007.4,599965.872232821,2.57461533422348e+15,-1.02461440438037e-07,22498.6577500799,373352.111231563-8256.01795321316i,1112.24242635326,0,0
30,Strom_L2,0,3493583.32713216,-3493583.30407256,401.399124528601,0.286734254031114,4.12167081477051e-18,22498.65775008,54.7337292011829+3.74222461238537e-05i,23.3073912493828,0,0
30,Strom_L3,1199.99944049987,11411160468416.5,-11411160468416.3,2383562.50979612,2.57304460825808e+15,-1.36754380248085e-06,22498.6577500799,-221230.392947829+4642.81913345131i,1112.24242635326,0,0
45,Strom_L1,979.795440283328,9322860763738.67,-9322860763738.67,-56045.5940550907,1.71640963434709e+15,1.42083190231448e-07,22498.6577500799,248858.656562203-5503.41444897457i,1112.24242635326,0,0
45,Strom_L2,0,3262648.21200652,-3262648.21200645,0.636057827169294,0.0613870821190761,1.76351388957608e-21,22498.65775008,59.8907313441899-3.60225833847783e-06i,23.3073912493828,0,0
45,Strom_L3,1338.42546193918,12727494232473.2,-12727494232473.2,700294.988527585,3.20091054033198e+15,1.9971031700904e-07,22498.6577500799,-275161.422713984+5775.35197022967i,1112.24242635326,0,0
60,Strom_L1,692.82,6592259164397.48,-6592259164397.46,408864.622085863,858204969977221,-1.48118637228343e-08,22498.6577500799,124387.334919227-2751.81696066588i,1112.24242635326,0,0
60,Strom_L2,0,3004020.4698828,-3004020.46896563,-74.2319662203365,0.292965191235938,-1.42492523066248e-19,22498.65775008,64.3527515825414-5.69005198691869e-05i,23.3073912493828,0,0
60,Strom_L3,1385.64,13176470924424.7,-13176470924424.6,1663647.10680909,3.43072541255785e+15,8.76883128306959e-07,22498.6577500799,-294867.577842809+6190.28041672276i,1112.24242635326,0,0
75,Strom_L1,358.630021655857,3412405508143.46,-3412405508143.45,280198.061306859,229955374589192,-2.71753308284179e-09,22498.6577500799,33304.1779208461-737.41290924309i,1112.24242635326,0,0
75,Strom_L2,0,2439913.6951126,-2439913.67507849,-312.670696919036,0.371316081610399,4.48796750321196e-19,22498.65775008,66.9246268597838-8.55095747157213e-07i,23.3073912493828,0,0
75,Strom_L3,1338.42546193918,12727492413724.8,-12727492413724.8,637409.549672595,3.20090998931126e+15,2.37957185055587e-07,22498.6577500799,-275061.9947124+5775.10534252631i,1112.24242635326,0,0
90,Strom_L1,0,1388164.03815885,-1388163.57536922,1133.51471930881,0.0973567586610869,4.7282343668854e-18,22498.6577500799,9.32311267975772-0.000103390117474122i,1112.24242635326,0,0
90,Strom_L2,0,1698434.47051355,-1698434.25226836,861.016994299191,0.46945090372132,-3.10731386897598e-18,22498.65775008,66.9176929136129+3.67198833310515e-05i,23.3073912493828,0,0
90,Strom_L3,1199.99944049987,11411157599717.8,-11411157599717.7,1475462.13093101,2.57304394467174e+15,7.84478361193982e-07,22498.6577500799,-221060.019234224+4642.58977303163i,1112.24242635326,0,0
